"JP_Kanji","JP_Kana","JP_Roma","org_Longitude","org_Latitude","Classification",lon,lat
"網走川","あばしりがわ","Abashiri Gawa","144 ゚ 14’","44 ゚ 00’","River",144.2333333333,44
"網走湖","あばしりこ","Abashiri Ko","144 ゚ 10’","43 ゚ 58’","Lake",144.1666666667,43.9666666667
"網走市","あばしりし","Abashiri Shi","144 ゚ 16’","44 ゚ 01’","Municipality",144.2666666667,44.0166666667
"安倍川","あべかわ","Abe Kawa","138 ゚ 21’","35 ゚ 03’","River",138.35,35.05
"我孫子市","あびこし","Abiko Shi","140 ゚ 01’","35 ゚ 51’","Municipality",140.0166666667,35.85
"安平町","あびらちょう","Abira Cho","141 ゚ 49’","42 ゚ 45’","Municipality",141.8166666667,42.75
"安平川","あびらがわ","Abira Gawa","141 ゚ 49’","42 ゚ 47’","River",141.8166666667,42.7833333333
"安房峠","あぼうとうげ","Abo Toge","137 ゚ 34’","36 ゚ 11’","Pass",137.5666666667,36.1833333333
"阿武町","あぶちょう","Abu Cho","131 ゚ 28’","34 ゚ 30’","Municipality",131.4666666667,34.5
"阿武川","あぶがわ","Abu Gawa","131 ゚ 25’","34 ゚ 23’","River",131.4166666667,34.3833333333
"阿武隈川","あぶくまがわ","Abukuma Gawa","140 ゚ 55’","38 ゚ 02’","River",140.9166666667,38.0333333333
"阿武隈高地","あぶくまこうち","Abukuma Kochi","140 ゚ 45’","37 ゚ 46’","Extensive natural feature",140.75,37.7666666667
"阿智村","あちむら","Achi Mura","137 ゚ 44’","35 ゚ 26’","Municipality",137.7333333333,35.4333333333
"足立山","あだちやま","Adachi Yama","130 ゚ 54’","33 ゚ 51’","Mountain",130.9,33.85
"安達太良山","あだたらやま","Adatara Yama","140 ゚ 17’","37 ゚ 37’","Mountain",140.2833333333,37.6166666667
"安曇川","あどがわ","Ado Gawa","135 ゚ 58’","35 ゚ 21’","River",135.9666666667,35.35
"阿賀町","あがまち","Aga Machi","139 ゚ 27’","37 ゚ 40’","Municipality",139.45,37.6666666667
"阿賀野川","あがのがわ","Agano Gawa","139 ゚ 07’","37 ゚ 58’","River",139.1166666667,37.9666666667
"阿賀野市","あがのし","Agano Shi","139 ゚ 13’","37 ゚ 50’","Municipality",139.2166666667,37.8333333333
"吾妻川","あがつまがわ","Agatsuma Gawa","138 ゚ 55’","36 ゚ 32’","River",138.9166666667,36.5333333333
"上松町","あげまつまち","Agematsu Machi","137 ゚ 41’","35 ゚ 47’","Municipality",137.6833333333,35.7833333333
"上尾市","あげおし","Ageo Shi","139 ゚ 35’","35 ゚ 58’","Municipality",139.5833333333,35.9666666667
"阿久比町","あぐいちょう","Agui Cho","136 ゚ 54’","34 ゚ 55’","Municipality",136.9,34.9166666667
"粟国島","あぐにじま","Aguni Jima","127 ゚ 13’","26 ゚ 36’","Island",127.2166666667,26.6
"粟国村","あぐにそん","Aguni Son","127 ゚ 13’","26 ゚ 34’","Municipality",127.2166666667,26.5666666667
"相島","あいしま","Ai Shima","131 ゚ 16’","34 ゚ 30’","Island",131.2666666667,34.5
"愛別町","あいべつちょう","Aibetsu Cho","142 ゚ 34’","43 ゚ 54’","Municipality",142.5666666667,43.9
"愛知県","あいちけん","Aichi Ken","136 ゚ 54’","35 ゚ 10’","Municipality",136.9,35.1666666667
"愛知用水","あいちようすい","Aichi Yosui","137 ゚ 03’","35 ゚ 09’","River",137.05,35.15
"相川","あいかわ","Aikawa","138 ゚ 14’","38 ゚ 02’","Populated area",138.2333333333,38.0333333333
"愛川町","あいかわまち","Aikawa Machi","139 ゚ 19’","35 ゚ 31’","Municipality",139.3166666667,35.5166666667
"愛南町","あいなんちょう","Ainan Cho","132 ゚ 35’","32 ゚ 57’","Municipality",132.5833333333,32.95
"相ノ島","あいのしま","Ainoshima","129 ゚ 10’","32 ゚ 55’","Island",129.1666666667,32.9166666667
"相ノ島","あいのしま","Ainoshima","130 ゚ 21’","33 ゚ 45’","Island",130.35,33.75
"相生市","あいおいし","Aioi Shi","134 ゚ 28’","34 ゚ 48’","Municipality",134.4666666667,34.8
"姶良町","あいらちょう","Aira Cho","130 ゚ 37’","31 ゚ 43’","Municipality",130.6166666667,31.7166666667
"愛西市","あいさいし","Aisai Shi","136 ゚ 43’","35 ゚ 09’","Municipality",136.7166666667,35.15
"相坂川(奥入瀬川)","あいさかがわ(おいらせがわ)","Aisaka Gawa (Oirase Gawa)","140 ゚ 58’","40 ゚ 31’","River",140.9666666667,40.5166666667
"愛荘町","あいしょうちょう","Aisho Cho","136 ゚ 12’","35 ゚ 10’","Municipality",136.2,35.1666666667
"会津朝日岳","あいづあさひだけ","Aizuasahi Dake","139 ゚ 19’","37 ゚ 13’","Mountain",139.3166666667,37.2166666667
"会津坂下町","あいづばんげまち","Aizubange Machi","139 ゚ 49’","37 ゚ 33’","Municipality",139.8166666667,37.55
"藍住町","あいずみちょう","Aizumi Cho","134 ゚ 29’","34 ゚ 07’","Municipality",134.4833333333,34.1166666667
"会津美里町","あいづみさとまち","Aizumisato Machi","139 ゚ 50’","37 ゚ 27’","Municipality",139.8333333333,37.45
"会津若松市","あいづわかまつし","Aizuwakamatsu Shi","139 ゚ 55’","37 ゚ 29’","Municipality",139.9166666667,37.4833333333
"網地島","あじしま","Aji Shima","141 ゚ 28’","38 ゚ 15’","Island",141.4666666667,38.25
"鰺ケ沢町","あじがさわまち","Ajigasawa Machi","140 ゚ 12’","40 ゚ 46’","Municipality",140.2,40.7666666667
