iso,prefecture_kanji,prefecture_romaji,prefecture_kana
01,北海道,Hokkaido,ほっかいどう
02,青森県,Aomori Ken,あおもりけん
03,岩手県,Iwate Ken,いわてけん
04,宮城県,Miyagi Ken,みやぎけん
05,秋田県,Akita Ken,あきたけん
06,山形県,Yamagata Ken,やまがたけん
07,福島県,Fukushima Ken,ふくしまけん
08,茨城県,Ibaraki Ken,いばらきけん
09,栃木県,Tochigi Ken,とちぎけん
10,群馬県,Gunma Ken,ぐんまけん
11,埼玉県,Saitama Ken,さいたまけん
12,千葉県,Chiba Ken,ちばけん
13,東京都,Tokyo To,とうきょうと
14,神奈川県,Kanagawa Ken,かながわけん
15,新潟県,Niigata Ken,にいがたけん
16,富山県,Toyama Ken,とやまけん
17,石川県,Ishikawa Ken,いしかわけん
18,福井県,Fukui Ken,ふくいけん
19,山梨県,Yamanashi Ken,やまなしけん
20,長野県,Nagano Ken,ながのけん
21,岐阜県,Gifu Ken,ぎふけん
22,静岡県,Shizuoka Ken,しずおかけん
23,愛知県,Aichi Ken,あいちけん
24,三重県,Mie Ken,みえけん
25,滋賀県,Shiga Ken,しがけん
26,京都府,Kyoto Fu,きょうとふ
27,大阪府,Osaka Fu,おおさかふ
28,兵庫県,Hyōgo Ken,ひょうごけん
29,奈良県,Nara Ken,ならけん
30,和歌山県,Wakayama Ken,わかやまけん
31,鳥取県,Tottori Ken,とっとりけん
32,島根県,Shimane Ken,しまねけん
33,岡山県,Okayama Ken,おかやまけん
34,広島県,Hiroshima Ken,ひろしまけん
35,山口県,Yamaguchi Ken,やまぐちけん
36,徳島県,Tokushima Ken,とくしまけん
37,香川県,Kagawa Ken,かがわけん
38,愛媛県,Ehime Ken,えひめけん
39,高知県,Kōchi Ken,こうちけん
40,福岡県,Fukuoka Ken,ふくおかけん
41,佐賀県,Saga Ken,さがけん
42,長崎県,Nagasaki Ken,ながさきけん
43,熊本県,Kumamoto Ken,くまもとけん
44,大分県,Ōita Ken,おおいたけん
45,宮崎県,Miyazaki Ken,みやざきけん
46,鹿児島県,Kagoshima Ken,かごしまけん
47,沖縄県,Okinawa Ken,おきなわけん
